Region,1,1000,1500,1600,1700,1820,2008
Western Europe ,14433,10925,44159,65508,80927,158860,8698029
Western Offshoots,448,748,1120,920,833,13499,10933678
East Europe,1956,2600,6696,9289,11393,24906,1030628
Former USSR ,1560,2840,8458,11426,16196,37678,2242206
Latin America,2240,4560,7288,3763,6346,14921,4045933
China ,26820,27494,61800,96000,82800,228600,8908894
India ,33750,33750,60500,74250,90750,111417,3415183
Japan ,1200,3188,7700,9620,15390,20739, 2904141 
West Asia,10120,12415,10495,12637,12291,15270,1905346
Africa ,8030,13720,19283,23349,25692,31161,1734918
Others,4845,8968,20822,24582,28440,36451,5154979
World Total,105402,121208,248321,331344,371058,693502,50973935
